RM1,RM2,RT1,RT2,T
13774.3,8374.83,35080,10000,4.92
13802,8376.16,35070,10000,4.93
13829.8,8377.5,35060,10000,4.94
13857.5,8378.86,35050,10000,4.95
13885.3,8380.22,35040,10000,4.96
13913,8381.6,35030,10000,4.97
13940.8,8382.99,35020,10000,4.98
13968.5,8384.38,35010,10000,4.99
13996.3,8385.79,35000,10000,5
14024,8387.21,34990,10000,5.01
14051.7,8388.64,34980,10000,5.02
14079.5,8390.08,34970,10000,5.03
14107.2,8391.53,34960,10000,5.04
14135,8392.99,34950,10000,5.05
14162.7,8394.46,34940,10000,5.06
14190.4,8395.94,34930,10000,5.07
14218.2,8397.43,34920,10000,5.08
14245.9,8398.94,34910,10000,5.09
14273.7,8400.45,34900,10000,5.1
14301.4,8401.97,34890,10000,5.11
14329.1,8403.5,34880,10000,5.12
14356.9,8405.05,34870,10000,5.13
14384.6,8406.6,34860,10000,5.14
14412.3,8408.17,34850,10000,5.15
14440.1,8409.74,34840,10000,5.16
14467.8,8411.32,34830,10000,5.17
14495.5,8412.92,34820,10000,5.18
14523.2,8414.52,34810,10000,5.19
14551,8416.13,34800,10000,5.2
14578.7,8417.76,34790,10000,5.21
14606.4,8419.39,34780,10000,5.22
14634.2,8421.03,34770,10000,5.23
14661.9,8422.69,34760,10000,5.24
14689.6,8424.35,34750,10000,5.25
14717.3,8426.02,34740,10000,5.26
14745.1,8427.7,34730,10000,5.27
14772.8,8429.4,34720,10000,5.28
14800.5,8431.1,34710,10000,5.29
14828.2,8432.81,34700,10000,5.3
14855.9,8434.53,34690,10000,5.31
14883.7,8436.26,34680,10000,5.32
14911.4,8438,34670,10000,5.33
14939.1,8439.75,34660,10000,5.34
14966.8,8441.51,34650,10000,5.35
14994.5,8443.27,34640,10000,5.36
15022.3,8445.05,34630,10000,5.37
15050,8446.84,34620,10000,5.38
15077.7,8448.63,34610,10000,5.39
15105.4,8450.44,34600,10000,5.4
15133.1,8452.25,34590,10000,5.41
15160.8,8454.07,34580,10000,5.42
15188.5,8455.91,34570,10000,5.43
15216.2,8457.75,34560,10000,5.44
15244,8459.6,34550,10000,5.45
15271.7,8461.46,34540,10000,5.46
15299.4,8463.32,34530,10000,5.47
15327.1,8465.2,34520,10000,5.48
15354.8,8467.09,34510,10000,5.49
15382.5,8468.98,34500,10000,5.5
15410.2,8470.89,34490,10000,5.51
15437.9,8472.8,34480,10000,5.52
15465.6,8474.72,34470,10000,5.53
15493.3,8476.65,34460,10000,5.54
15521,8478.59,34450,10000,5.55
15548.7,8480.53,34440,10000,5.56
15576.4,8482.49,34430,10000,5.57
15604.1,8484.45,34420,10000,5.58
15631.8,8486.43,34410,10000,5.59
15659.5,8488.41,34400,10000,5.6
15687.2,8490.4,34390,10000,5.61
15714.9,8492.4,34380,10000,5.62
15742.6,8494.4,34370,10000,5.63
15770.3,8496.42,34360,10000,5.64
15798,8498.44,34350,10000,5.65
15825.7,8500.47,34340,10000,5.66
15853.4,8502.51,34330,10000,5.67
15881.1,8504.56,34320,10000,5.68
15908.8,8506.62,34310,10000,5.69
15936.5,8508.68,34300,10000,5.7
15964.2,8510.75,34290,10000,5.71
15991.9,8512.83,34280,10000,5.72
16019.6,8514.92,34270,10000,5.73
16047.2,8517.02,34260,10000,5.74
16074.9,8519.13,34250,10000,5.75
16102.6,8521.24,34240,10000,5.76
16130.3,8523.36,34230,10000,5.77
16158,8525.49,34220,10000,5.78
16185.7,8527.62,34210,10000,5.79
16213.4,8529.77,34200,10000,5.8
16241.1,8531.92,34190,10000,5.81
16268.7,8534.08,34180,10000,5.82
16296.4,8536.25,34170,10000,5.83
16324.1,8538.42,34160,10000,5.84
16351.8,8540.61,34150,10000,5.85
16379.5,8542.8,34140,10000,5.86
16407.2,8544.99,34130,10000,5.87
16434.8,8547.2,34120,10000,5.88
16462.5,8549.41,34110,10000,5.89
16490.2,8551.63,34100,10000,5.9
16517.9,8553.86,34090,10000,5.91
16545.6,8556.1,34080,10000,5.92
16573.2,8558.34,34070,10000,5.93
16600.9,8560.59,34060,10000,5.94
16628.6,8562.85,34050,10000,5.95
16656.3,8565.11,34040,10000,5.96
16684,8567.39,34030,10000,5.97
16711.6,8569.67,34020,10000,5.98
16739.3,8571.95,34010,10000,5.99
16767,8574.25,34000,10000,6
16794.7,8576.55,33990,10000,6.01
16822.3,8578.86,33980,10000,6.02
16850,8581.17,33970,10000,6.03
16877.7,8583.49,33960,10000,6.04
16905.3,8585.82,33950,10000,6.05
16933,8588.16,33940,10000,6.06
16960.7,8590.5,33930,10000,6.07
16988.3,8592.85,33920,10000,6.08
17016,8595.21,33910,10000,6.09
17043.7,8597.58,33900,10000,6.1
17071.4,8599.95,33890,10000,6.11
17099,8602.32,33880,10000,6.12
17126.7,8604.71,33870,10000,6.13
17154.4,8607.1,33860,10000,6.14
17182,8609.5,33850,10000,6.15
17209.7,8611.9,33840,10000,6.16
17237.3,8614.32,33830,10000,6.17
17265,8616.73,33820,10000,6.18
17292.7,8619.16,33810,10000,6.19
